id,name,codice_ipa,seed_domain,claimed_domain,reject_reason,old_mx,old_provider,old_reason
IT-C1-m_it,Ministero dell'Interno,m_it,interno.gov.it,comune.roma.it,unrelated,comune-roma-it.mail.protection.outlook.com,microsoft,MX record (comune-roma-it.mail.protection.outlook.com) matches Microsoft
IT-C1-m_pi,Ministero dell'istruzione e del merito,m_pi,mim.gov.it,istruzione.it,unrelated,istruzione-it.mail.protection.outlook.com,microsoft,MX record (istruzione-it.mail.protection.outlook.com) matches Microsoft
IT-C1-m_sa,Ministero della Salute,m_sa,salute.gov.it,comune.roma.it,unrelated,comune-roma-it.mail.protection.outlook.com,microsoft,MX record (comune-roma-it.mail.protection.outlook.com) matches Microsoft
IT-C12-izs_fg,Istituto Zooprofilattico Sperimentale della Puglia e della Basilicata,izs_fg,izsfg.it,comune.foggia.it,unrelated,mx.arubamail.it,aruba,MX (mx.arubamail.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C13-ACICU,Automobile Club Cuneo,acicu,cuneo.aci.it,acicuneo.it,unrelated,acicuneo-it.mail.protection.outlook.com,microsoft,"MX record (acicuneo-it.mail.protection.outlook.com, mail.acicuneo.it) matches Microsoft"
IT-C13-ac_ar,Automobile Club Arezzo,ac_ar,arezzo.aci.it,aciarezzo.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C13-ac_bo,Automobile Club Bologna,ac_bo,bologna.aci.it,acibologna.com,unrelated,mail-av.acibologna.com,seeweb,"MX record (mail-av.acibologna.com, smtp-avas.seeweb.it) matches Seeweb"
IT-C13-ac_co,Automobile Club Como,ac_co,como.aci.it,acicomo.it,unrelated,acicomo-it.mail.protection.outlook.com,microsoft,MX record (acicomo-it.mail.protection.outlook.com) matches Microsoft
IT-C13-ac_fe,Automobile Club Ferrara,ac_fe,ferrara.aci.it,aciferrara.it,unrelated,mx01.cbsolt.net,independent,MX is cbsolt gateway; backend provider unknown
IT-C13-ac_ge,Automobile Club Genova,ac_ge,genova.aci.it,acigenova.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C13-ac_ra,Automobile Club Ravenna,ac_ra,ravenna.aci.it,acravenna.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C13-ac_tp,Automobile Club Trapani,ac_tp,trapani.aci.it,email.it,unrelated,mx.dka.mailcore.net,local-isp,MX (mx.dka.mailcore.net) hosted on Local ISP (TDC NET (DK))
IT-C13-ac_tv,Automobile Club Treviso,ac_tv,treviso.aci.it,acitreviso.it,unrelated,mx.acitreviso.it,aruba,MX (mx.acitreviso.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C13-aci_lc,Automobile Club Lecco,aci_lc,lecco.aci.it,acilecco.it,unrelated,mx.truemail.it,aruba,MX (mx.truemail.it) on AS12637 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C13-acicl,Automobile Club Caltanissetta,acicl,caltanissetta.aci.it,acicl.it,unrelated,mx.acicl.it,aruba,MX (mx.acicl.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C13-acili,Automobile Club Livorno,acili,livorno.aci.it,acilivorno.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C13-acm,Automobile Club Modena,acm,modena.aci.it,acimodena.it,unrelated,acimodena-it.mail.protection.outlook.com,microsoft,MX record (acimodena-it.mail.protection.outlook.com) matches Microsoft
IT-C13-acmt,Automobile Club Matera,acmt,matera.aci.it,tin.it,unrelated,mx.tin.it,google,MX (mx.tin.it) on AS396982 (?) -> google (ASN-based override)
IT-C13-acr_rm,Automobile Club Roma,acr_rm,roma.aci.it,aciroma.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C13-acs_so,Automobile Club Sondrio,acs_so,sondrio.aci.it,acisondrio.it,unrelated,acisondrio-it.mail.protection.outlook.com,microsoft,MX record (acisondrio-it.mail.protection.outlook.com) matches Microsoft
IT-C13-acta,Automobile Club Taranto,acta,taranto.aci.it,blu.it,unrelated,smtp-in.blu.it,local-isp,MX (smtp-in.blu.it) hosted on Local ISP (Italiaonline / Matrix (IT))
IT-C13-acto,Automobile Club Torino,acto,torino.aci.it,acitorino.it,unrelated,mail.acitorino.it,independent,MX (mail.acitorino.it) is self-hosted
IT-C13-acv,Automobile Club Venezia,acv,venezia.aci.it,acivenezia.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C14-2US6PK0U,Ordine dei Periti Industriali e Periti Industriali Laureati della Provincia di Crotone,2us6pk0u,ordine-crotone.cnpi.eu,comune.crotone.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C14-CPPA_CCV,Collegio dei Periti Agrari e dei Periti Agrari Laureati della Provincia di Catanzaro Crotone e Vibo Valentia,cppa_ccv,peritiagraricatanzaro.it,comune.catanzaro.it,unrelated,comune-catanzaro-it.mail.protection.outlook.com,microsoft,MX record (comune-catanzaro-it.mail.protection.outlook.com) matches Microsoft
IT-C14-GB6QL6FQ,Ordine dei Dottori Agronomi e dei Dottori Forestali della Provincia di Pescara,gb6ql6fq,ordinepescara.conaf.it,gmail.com,unrelated,alt1.gmail-smtp-in.l.google.com,google,"MX record (alt1.gmail-smtp-in.l.google.com, alt2.gmail-smtp-in.l.google.com) matches Google"
IT-C14-M1GDRYTZ,ORDINEFARMACISTI DI VIBO VALENTIA,m1gdrytz,ordinedeifarmacistivv.it,comune.vibovalentia.vv.it,unrelated,mx.comune.vibovalentia.vv.it,aruba,MX (mx.comune.vibovalentia.vv.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-ORCHRAGU,Ordine dei Chimici della Provincia di Ragusa,orchragu,ordinechimiciragusa.it,comune.ragusa.it,unrelated,smtp.google.com,google,MX record (smtp.google.com) matches Google
IT-C14-QLLQHCH2,Ordine dei Dottori Agronomi e dei Dottori Forestali della Provincia di Vibo Valentia,qllqhch2,ordinevibovalentia.conaf.it,comune.vibovalentia.vv.it,unrelated,mx.comune.vibovalentia.vv.it,aruba,MX (mx.comune.vibovalentia.vv.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-ZERW4Z6V,Ordine Interprovinciale della professione di fisioterapista forlì cesena ravenna Rimini,zerw4z6v,ofiromagna.it,comune.forli.fc.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C14-ZMK7OVXU,FEDERAZIONE REGIONALE DEI DOTTORI AGRONOMI E DEI DOTTORI FORESTALI DELL'ABRUZZO,zmk7ovxu,federazioneabruzzo.conaf.it,agronomiforestaliabruzzo.it,unrelated,smtp.google.com,google,MX record (smtp.google.com) matches Google
IT-C14-apacp,Albo Professionale Agrotecnici Collegio di Pescara,apacp,agrotecnicipescara.it,agrotecnici.it,unrelated,mx.agrotecnici.it,aruba,MX (mx.agrotecnici.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-cdad_020,Collegio Degli Agrotecnici e Degli Agrotecnici Laureati della Provincia di Mantova,cdad_020,agrotecnicimantova.jimdo.com,agrotecnici.it,unrelated,mx.agrotecnici.it,aruba,MX (mx.agrotecnici.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-cdgd_050,Collegio Dei Geometri e Dei Geometri Laureati della Provincia di Pisa,cdgd_050,collegio.geometri.pi.it,collegiogeometripisa.it,unrelated,collegiogeometripisa-it.mail.protection.outlook.com,microsoft,MX record (collegiogeometripisa-it.mail.protection.outlook.com) matches Microsoft
IT-C14-cdobn,Collegio Delle Ostetriche di Benevento,cdobn,ostetrichebn.it,virgilio.it,unrelated,smtp-in.virgilio.it,local-isp,MX (smtp-in.virgilio.it) hosted on Local ISP (Italiaonline / Matrix (IT))
IT-C14-cdom_mo,Ordine Interprovinciale della Professione di Ostetrica di Modena e Ferrara,cdom_mo,ordineostetrichemodenaferrara.it,gmail.com,unrelated,alt1.gmail-smtp-in.l.google.com,google,"MX record (alt1.gmail-smtp-in.l.google.com, alt2.gmail-smtp-in.l.google.com) matches Google"
IT-C14-cdop_061,Ordine della Professione di Ostetrica/o della Provincia di Caserta,cdop_061,lnx.ostetrichecaserta.it,gmail.com,unrelated,alt1.gmail-smtp-in.l.google.com,google,"MX record (alt1.gmail-smtp-in.l.google.com, alt2.gmail-smtp-in.l.google.com) matches Google"
IT-C14-cdopc,Ordine della Professione di Ostetrica della Provincia di Catania,cdopc,collegio-ostetriche-ct.it,alice.it,unrelated,mx.tim.it,google,MX (mx.tim.it) on AS396982 (?) -> google (ASN-based override)
IT-C14-cdopm,Collegio Delle Ostetriche della Provincia di Mantova,cdopm,collegioostetrichemantova.it,gmail.com,unrelated,alt1.gmail-smtp-in.l.google.com,google,"MX record (alt1.gmail-smtp-in.l.google.com, alt2.gmail-smtp-in.l.google.com) matches Google"
IT-C14-cdpapal,Collegio Dei Periti Agrari e Periti Agrari Siracusa,cdpapal,peritiagrarisiracusa.it,comune.siracusa.it,unrelated,mx.carboniocloud.com,microsoft,MX is carbonio gateway; TXT verification proves microsoft tenant
IT-C14-cdpappt,Collegio Dei Periti Agrari e Dei Periti Agrari Laureati Delle Province di Ascoli Piceno - Pescara e Teramo,cdpappt,peritiagrariascolipescarateramo.it,comune.teramo.it,unrelated,mx-01-eu-west-1.prod.hydra.sophos.com,microsoft,MX is sophos gateway; MS365 tenant detected (Managed)
IT-C14-cdpatr,Collegio Dei Periti Agrari e Dei Periti Agrari Laureati della Provincia di Trapani,cdpatr,peritiagraritp.it,tiscali.it,unrelated,etb-1.mail.tiscali.it,local-isp,"MX (etb-1.mail.tiscali.it, etb-2.mail.tiscali.it) hosted on Local ISP (Tiscali (IT))"
IT-C14-cdpdp,ordine dei periti industriali e dei periti industriali laureati della provincia di nuoro,cdpdp,peritindustrialinuoro.altervista.org,tiscali.it,unrelated,etb-1.mail.tiscali.it,local-isp,"MX (etb-1.mail.tiscali.it, etb-2.mail.tiscali.it) hosted on Local ISP (Tiscali (IT))"
IT-C14-cdpid,Ordine dei Periti Industriali della Provincia di Bologna,cdpid,perindbo.org,comune.bologna.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C14-cdpid1,ORDINE DEI PERITI INDUSTRIALI E DEI PERITI INDUSTRIALI LAUREATI DELLA PROVINCIA DI PIACENZA,cdpid1,periti-industriali-piacenza.it,ordineperitipiacenza.it,unrelated,mx.ordineperitipiacenza.it,aruba,MX (mx.ordineperitipiacenza.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-cdtsrfg,"Ordine dei Tecnici Sanitari di Radiologia Medica e delle Professioni Sanitarie Tecniche, della Riabilitazione e della Prevenzione della Provincia di Foggia",cdtsrfg,ordinetsrmpstrpfoggia.it,tsrmfoggia.org,unrelated,mx.tsrmfoggia.org,aruba,MX (mx.tsrmfoggia.org) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
