id,codice_ipa,categoria,name,seed_domain,fallbacks,n_fallbacks,fb_validator_reasons
IT-C1-m_pi,m_pi,C1,Ministero dell'istruzione e del merito,mim.gov.it,istruzione.it,1,istruzione.it=NO:unrelated
IT-C13-ac_ra,ac_ra,C13,Automobile Club Ravenna,ravenna.aci.it,acravenna.it,1,acravenna.it=NO:unrelated
IT-C13-ac_tp,ac_tp,C13,Automobile Club Trapani,trapani.aci.it,email.it,1,email.it=NO:unrelated
IT-C13-acta,acta,C13,Automobile Club Taranto,taranto.aci.it,blu.it,1,blu.it=NO:unrelated
IT-C14-ZMK7OVXU,ZMK7OVXU,C14,FEDERAZIONE REGIONALE DEI DOTTORI AGRONOMI E DEI DOTTORI FORESTALI DELL'ABRUZZO,federazioneabruzzo.conaf.it,agronomiforestaliabruzzo.it,1,agronomiforestaliabruzzo.it=NO:unrelated
IT-C14-apacp,apacp,C14,Albo Professionale Agrotecnici Collegio di Pescara,agrotecnicipescara.it,agrotecnici.it,1,agrotecnici.it=NO:unrelated
IT-C14-cdad_020,cdad_020,C14,Collegio Degli Agrotecnici e Degli Agrotecnici Laureati della Provincia di Mantova,agrotecnicimantova.jimdo.com,agrotecnici.it,1,agrotecnici.it=NO:unrelated
IT-C14-cdobn,cdobn,C14,Collegio Delle Ostetriche di Benevento,ostetrichebn.it,virgilio.it,1,virgilio.it=NO:unrelated
IT-C14-cdom_mo,cdom_mo,C14,Ordine Interprovinciale della Professione di Ostetrica di Modena e Ferrara,ordineostetrichemodenaferrara.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-cdop_061,cdop_061,C14,Ordine della Professione di Ostetrica/o della Provincia di Caserta,lnx.ostetrichecaserta.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-cdopc,cdopc,C14,Ordine della Professione di Ostetrica della Provincia di Catania,collegio-ostetriche-ct.it,alice.it,1,alice.it=NO:unrelated
IT-C14-cdopm,cdopm,C14,Collegio Delle Ostetriche della Provincia di Mantova,collegioostetrichemantova.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-cdpatr,cdpatr,C14,Collegio Dei Periti Agrari e Dei Periti Agrari Laureati della Provincia di Trapani,peritiagraritp.it,tiscali.it,1,tiscali.it=NO:unrelated
IT-C14-cdpdp,cdpdp,C14,ordine dei periti industriali e dei periti industriali laureati della provincia di nuoro,peritindustrialinuoro.altervista.org,tiscali.it,1,tiscali.it=NO:unrelated
IT-C14-cdpid1,cdpid1,C14,ORDINE DEI PERITI INDUSTRIALI E DEI PERITI INDUSTRIALI LAUREATI DELLA PROVINCIA DI PIACENZA,periti-industriali-piacenza.it,ordineperitipiacenza.it,1,ordineperitipiacenza.it=NO:unrelated
IT-C14-cdtsrfg,cdtsrfg,C14,"Ordine dei Tecnici Sanitari di Radiologia Medica e delle Professioni Sanitarie Tecniche, della Riabilitazione e della Prevenzione della Provincia di Foggia",ordinetsrmpstrpfoggia.it,tsrmfoggia.org,1,tsrmfoggia.org=NO:unrelated
IT-C14-cgglre,cgglre,C14,Collegio Geometri e Geometri Laureati della Provincia di Reggio Emilia,geometrire.it,collegiogeometri.re.it,1,collegiogeometri.re.it=NO:unrelated
IT-C14-cida_063,cida_063,C14,Collegio Interprovinciale Degli Agrotecnici e Degli Agrotecnici Laureati di Napoli e Caserta,agrotecnici-napolicaserta.com,agrotecnici.it,1,agrotecnici.it=NO:unrelated
IT-C14-cida_076,cida_076,C14,Collegio Interprovinciale degli Agrotecnici e degli Agrotecnici Laureati della Provincia di Potenza e Matera,agrotecnicipotenzamatera.wordpress.com,agrotecnici.it,1,agrotecnici.it=NO:unrelated
IT-C14-cidoap,cidoap,C14,Ordine Interprovinciale Professione Ostetrica Ascoli Piceno e Fermo,ordineostetricheapfm.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-cidocls,cidocls,C14,ORDINE DELLA PROFESSIONE DI OSTETRICA INTERPROVINCIALE DI COMO LECCO E SONDRIO,ostetrichecomolecco.org,ostetrichecomoleccosondrio.org,1,ostetrichecomoleccosondrio.org=NO:unrelated
IT-C14-cip_a,cip_a,C14,Ordine delle Professioni Infermieristiche di Gorizia,opigorizia.it,opi-go.it,1,opi-go.it=NO:unrelated
IT-C14-citsr,citsr,C14,Ordine Professionale Interprovinciale TSRM PSTRP delle Province di Vercelli Biella,ordinevercellibiella.org,tsrm.org,1,tsrm.org=NO:unrelated
IT-C14-cnav,cnav,C14,Consiglio Notarile Avellino,consiglionotarilediavellino.com,notariato.it,1,notariato.it=NO:pec_provider:notariato.it
IT-C14-cnbl,cnbl,C14,Consiglio Notarile di Belluno,consiglionotarilebelluno.it,notariato.it,1,notariato.it=NO:pec_provider:notariato.it
IT-C14-cnddrfr,cnddrfr,C14,Consiglio Notarile Dei Distretti Riuniti di Forli' e Rimini,webrun.notariato.it,notariato.it,1,notariato.it=NO:pec_provider:notariato.it
IT-C14-coenna,coenna,C14,Collegio Ostetrici Enna,pec.collegiostetricienna.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-cpa_006,cpa_006,C14,Collegio Provinciale Agrotecnici e Agrotecnici laureati di Alessandria,alessandria.agrotecnicipiemonte.it,agrotecnici.it,1,agrotecnici.it=NO:unrelated
IT-C14-cpar,cpar,C14,Collegio Provinciale Agrotecnici Ravenna,agrotecniciravenna.com,agrotecnici.it,1,agrotecnici.it=NO:unrelated
IT-C14-cpclt,cpclt,C14,Consiglio Provinciale Consulenti del Lavoro di Teramo,consulentidellavoroteramo.com,consulentidellavoro.it,1,consulentidellavoro.it=NO:unrelated
IT-C14-cpdad_9,cpdad_9,C14,Collegio Provinciale Degli Agrotecnici e Degli Agrotecnici Laureati di Siracusa,agrotecnicisiracusa.it,agrotecnici.it,1,agrotecnici.it=NO:unrelated
IT-C14-cpdoc,cpdoc,C14,Ordine della Professione di Ostetrica della Provincia di Cosenza,ostetrichecs.it,libero.it,1,libero.it=NO:unrelated
IT-C14-cpdpa_cb,cpdpa_cb,C14,Collegio dei Periti Agrari e dei Periti Agrari Laureati della Provincia di Campobasso,peritiagraricb.it,peritiagrari.it,1,peritiagrari.it=NO:unrelated
IT-C14-cpgglb,cpgglb,C14,Collegio Provinciale Geometri e Geometri Laureati di Bari,bari.geometriapulia.net,cng.it,1,cng.it=NO:unrelated
IT-C14-cpoppu,cpoppu,C14,Collegio Provinciale Ordine dei Consulenti del Lavoro di Pesaro - Urbino,consulentidellavoropesaro.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-cptsr_n,cptsr_n,C14,Collegio Provinciale Tecnici Sanitari di Radiologia Medica di Nuoro,tsrmnuoro.jimdo.com,yahoo.it,1,yahoo.it=NO:unrelated
IT-C14-cptsre,cptsre,C14,"Ordine dei Tecnici Sanitari di Radiologia Medica, e delle Professioni Sanitarie Tecniche, della Riabilitazione e della Prevenzione della Provincia di Enna",tsrmenna.com,tsrm.org,1,tsrm.org=NO:unrelated
IT-C14-crdmi,crdmi,C14,Co.Re.Di. Commissione Amministrativa Regionale di Disciplina,coredilombardia.portaleamministrazionetrasparente.it,notariato.it,1,notariato.it=NO:pec_provider:notariato.it
IT-C14-ctsr_070,ctsr_070,C14,"Ordine dei Tecnici Sanitari di Radiologia Medica e delle Professioni Sanitarie Tecniche, della Riabilitazione e della Prevenzione di Campobasso-Isernia",collegiotsrmmolise.it,tsrm.org,1,tsrm.org=NO:unrelated
IT-C14-oam_2,oam_2,C14,Ordine Avvocati di Mondovi',ordineavvocatimondovi.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-oappcm,oappcm,C14,Ordine Architetti Pianificatori Paesaggisti e Conservatori della Prov. di Macerata,wwwarchitettimacerata.it,archiworld.it,1,archiworld.it=NO:unrelated
IT-C14-ocdlms,ocdlms,C14,Ordine Consulenti del Lavoro Consiglio Provinciale di Massa Carrara,consulentidellavoroms.it,gmail.com;consulentidellavoro.it,2,gmail.com=NO:unrelated | consulentidellavoro.it=NO:unrelated
IT-C14-odadfbg,odadfbg,C14,Ordine Dottori Agronomi e Dottori Forestali della Provincia di Bergamo,ordinebergamo.conaf.it,odafbergamo.it,1,odafbergamo.it=NO:unrelated
IT-C14-odadfc,odadfc,C14,Ordine Dei Dottori Agronomi e Dei Dottori Forestali della Provincia di Cremona,ordinecremona.conaf.it,associazioneprofessionisti-cr.it,1,associazioneprofessionisti-cr.it=NO:unrelated
IT-C14-odadfch,odadfch,C14,Ordine Dottori Agronomi e Dottori Forestali della Provincia di Chieti,ordinechieti.conaf.it,agronomiforestalichieti.it,1,agronomiforestalichieti.it=NO:unrelated
IT-C14-odadfmi,odadfmi,C14,Ordine Dei Dottori Agronomi e Dei Dottori Forestali di Milano,ordinemilano.conaf.it,odaf.mi.it,1,odaf.mi.it=NO:unrelated
IT-C14-odadfpv,odadfpv,C14,Ordine Dottori Agronomi e Dottori Forestali della Provincia di Verona,ordineverona.conaf.it,fodafveneto.it,1,fodafveneto.it=NO:unrelated
IT-C14-odafna,odafna,C14,Federazione Regionale Degli Ordini Dei Dottori Agronomi e Dei Dottori Forestali della Campania,fodafcampania.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-odafpo,odafpo,C14,Ordine Dei Dottori Agronomi e Dei Dottori Forestali di Prato,ordineprato.conaf.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-odafpt,odafpt,C14,Ordine Dei Dottori Agronomi e Dottori Forestali della Provincia di Pistoia,ordinepistoia.conaf.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-odafrc,odafrc,C14,Ordine Dei Dott. Agronomi e Dei Dott. Forestali della Provincia di Reggio Calabria,ordinereggiocalabria.conaf.it,tiscali.it,1,tiscali.it=NO:unrelated
IT-C14-odaftv,odaftv,C14,Ordine Dei Dottori Agronomi e Dottori Forestali della Provincia di Treviso,ordinetreviso.conaf.it,fodafveneto.it,1,fodafveneto.it=NO:unrelated
IT-C14-odafva,odafva,C14,Ordine dei Dottori Agronomi e dei Dottori Forestali di Varese,ordinevarese.conaf.it,agronomivarese.it,1,agronomivarese.it=NO:unrelated
IT-C14-odap_094,odap_094,C14,Ordine Degli Architetti Paesaggisti Pianificatori e Conservatori  della Provincia di Isernia,is.archiworld.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-odappe,odappe,C14,Ordine Degli Architetti Ppc della Provincia di Pescara,architettipescara.it,pescara.archiworld.it;hotmail.com,2,pescara.archiworld.it=NO:unrelated | hotmail.com=NO:unrelated
IT-C14-odcec_at,odcec_at,C14,Ordine dei Dottori Commercialisti e degli Esperti Contabili di Asti,asti.odec.com,odcec-asti.it,1,odcec-asti.it=NO:unrelated
IT-C14-odda_077,odda_077,C14,Ordine Dei Dottori Agronomi e Dei Dottori Forestali della Provincia di Matera,ordinematera.conaf.it,agronomimatera.com,1,agronomimatera.com=NO:unrelated
IT-C14-oddadfv,oddadfv,C14,Ordine Dei Dottori Agronomi e Dottori Forestali di Venezia,ordinevenezia.conaf.it,fodafveneto.it,1,fodafveneto.it=NO:unrelated
IT-C14-oddadnu,oddadnu,C14,Ordine Dei Dottori Agronomi e Dei Dottori Forestali della Provincia di Nuoro,ordinenuoro.conaf.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-oddafag,oddafag,C14,Ordine Dei Dottori Agronomi e Forestali di Agrigento,ordineagrigento.conaf.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-oddafpo,oddafpo,C14,Ordine Dei Dottori Agronomi e Dei Dottori Forestali della Provincia di Oristano,ordineoristano.conaf.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-oddafvi,oddafvi,C14,Ordine Dei Dottori Agronomi e Forestali della Prov. Di Vicenza,ordinevicenza.conaf.it,fodafveneto.it,1,fodafveneto.it=NO:unrelated
IT-C14-oddc_002,oddc_002,C14,Ordine Dei Dottori Commercialisti e Degli Esperti Contabili di Vercelli,vercelli.commercialisti.it,odcecvercelli.it,1,odcecvercelli.it=NO:unrelated
IT-C14-oddc_095,oddc_095,C14,Ordine Dei Dottori Commercialisti Ed Esperti Contabili di Oristano,oristano.odcec.com,gmail.com,1,gmail.com=NO:unrelated
IT-C14-oddc_096,oddc_096,C14,Ordine Dei Dottori Commercialisti e Degli Esperti Contabili di Biella,biella.odcec.com,odcbiella.it,1,odcbiella.it=NO:unrelated
IT-C14-oddcd_vb,oddcd_vb,C14,Ordine dei Dottori Commercialisti e degli Esperti Contabili di Verbania,verbania.commercialisti.it,odcec-verbania.it,1,odcec-verbania.it=NO:unrelated
IT-C14-oddcdf,oddcdf,C14,Ordine Dei Dottori Commercialisti e Degli Esperti Contabili di Forli',forli.commercialisti.it,odcecforlicesena.it,1,odcecforlicesena.it=NO:unrelated
IT-C14-odmcd,odmcd,C14,Ordine Dei Medici Chirurghi e Degli Odontoiatri della Provincia di Catanzaro,ordinedeimedicicz.it,virgilio.it,1,virgilio.it=NO:unrelated
IT-C14-oics,oics,C14,Ordine Interprovinciale Chimici Sicilia,ordinechimicisicilia.it,libero.it,1,libero.it=NO:unrelated
IT-C14-omv_ce,omv_ce,C14,Ordine dei Medici Veterinari della Provincia di Caserta,ordineveterinaricaserta.it,libero.it,1,libero.it=NO:unrelated
IT-C14-omvna,omvna,C14,Ordine Dei Medici Veterinari della Provincia di Napoli,ordineveterinarinapoli.it,gmail.com,1,gmail.com=NO:unrelated
IT-C14-opapp_02,opapp_02,C14,Ordine Provinciale Architetti Pianificatori Paesaggisti e Conservatori di Rovigo,ordinearchitetti.ro.it,archiworld.it,1,archiworld.it=NO:unrelated
IT-C14-opdd_081,opdd_081,C14,Ordine Provinciale Dei Dottori Agronomi e Dei Dottori Forestali di Trapani,agronomiforestalitp.it,conaf.it,1,conaf.it=NO:unrelated
IT-C14-opmv_093,opmv_093,C14,Ordine Provinciale dei Medici Veterinari di Pordenone,ordineveterinaripordenone.org,gmail.com,1,gmail.com=NO:unrelated
IT-C3-afrstas,afrstas,C3,Agenzia Forestale Regionale per Lo Sviluppo del Territorio e dell'Ambiente della Sardegna,sardegnaforeste.it,forestas.it,1,forestas.it=NO:unrelated
IT-C3-anlpa,anlpa,C3,Agenzia Nazionale per Le Politiche Attive del Lavoro,anpal.gov.it,pec.anpal.gov.it,1,pec.anpal.gov.it=OK:subdomain_or_parent
IT-C3-cslri,cslri,C3,Commissario Straordinario per La Realizzazione dell'Intervento Schema Idrico Basento - Bradano Tronco di Acerenza - Distribuzione Iii Lotto,schemaidricobasentobradanotroncodiacerenza.it,gmail.com;alice.it,2,gmail.com=NO:unrelated | alice.it=NO:unrelated
IT-C5-gnddp,gnddp,C5,Garante nazionale dei diritti delle persone private della liberta' personale,garantenazionaleprivatiliberta.it,garantenpl.it,1,garantenpl.it=NO:unrelated
